18	18	47	19	19	39	7	19	45	6	29	42	3	2	56	2	4	10	28	45	41	26	43	1	52	26	10	29	24	57	51	59	
16	19	35	23	38	11	38	31	8	25	4	20	1	32	0	46	2	8	48	40	1	14	56	15	48	5	12	25	23	33	25	34	
56	47	16	27	15	53	18	23	26	8	56	31	23	28	46	26	12	19	16	6	33	34	24	19	9	13	39	13	16	38	4	20	
41	50	6	28	3	0	7	55	22	31	42	53	48	11	55	19	14	11	9	36	41	6	16	16	10	32	49	13	18	32	7	41	
56	48	37	11	9	45	38	22	5	26	41	29	39	36	21	16	59	4	50	52	13	33	35	30	43	20	15	6	24	10	30	40	
48	17	21	18	40	35	50	17	10	16	47	31	30	19	10	38	4	6	38	20	17	55	49	47	49	42	25	11	16	52	18	10	
30	8	17	55	6	19	11	44	26	59	22	39	56	57	9	9	52	24	40	35	42	57	14	49	28	14	26	8	41	15	6	54	
17	3	26	37	29	15	6	2	52	53	15	6	4	54	55	44	28	32	49	45	10	54	15	36	23	16	40	13	19	34	42	37	
42	53	20	20	35	54	50	32	57	24	26	30	44	17	59	40	7	16	53	46	14	30	51	17	3	24	1	38	54	9	26	7	
37	41	15	13	31	45	43	42	41	38	26	57	43	2	57	9	17	38	23	55	50	18	42	24	39	45	38	43	1	21	23	16	
49	32	34	58	37	19	5	15	35	24	48	6	49	57	41	18	24	0	33	46	2	45	25	33	28	5	43	28	42	21	40	27	
46	19	43	41	56	33	21	52	19	38	21	57	6	23	52	56	50	19	13	21	39	20	2	31	1	26	7	10	32	6	17	37	
14	4	36	33	50	41	58	57	31	4	22	50	10	16	13	43	35	11	32	43	31	10	39	31	31	46	59	32	39	31	19	25	
14	36	30	30	26	18	12	5	12	54	46	46	45	10	48	38	12	8	46	56	39	12	32	17	10	27	39	34	27	24	48	48	
16	43	8	28	4	25	3	9	28	40	4	43	43	56	37	2	32	38	2	44	24	25	43	48	57	14	59	32	32	42	38	18	
36	25	16	47	8	5	44	24	43	14	43	35	20	35	45	35	48	29	29	47	52	41	18	5	44	12	55	26	18	33	25	10	
53	9	28	27	18	35	22	8	44	55	44	53	52	53	7	0	44	36	31	14	25	13	25	55	12	11	38	57	49	43	39	53	
36	13	1	21	6	25	30	39	16	41	11	25	19	34	31	2	23	13	52	31	37	56	14	4	37	40	29	31	41	34	34	3	
32	19	7	48	24	18	42	49	58	54	3	3	41	0	18	4	5	7	28	36	38	30	59	29	10	50	0	26	39	22	2	4	
22	17	57	32	8	12	8	27	51	59	33	3	42	42	43	3	15	9	26	12	34	40	3	45	31	55	23	49	57	50	1	19	
49	21	28	5	38	59	39	53	14	57	26	53	46	57	18	35	41	20	12	39	11	22	34	14	41	50	2	48	16	26	9	32	
10	25	12	43	38	35	36	55	16	54	59	18	2	19	35	52	10	49	36	22	19	34	41	9	52	59	44	11	20	55	37	37	
33	35	53	30	52	37	14	36	29	59	7	49	8	0	39	29	31	38	58	43	24	39	31	5	19	57	6	58	13	20	1	28	
41	48	19	59	56	53	41	57	4	32	1	34	45	43	41	51	51	28	32	56	37	18	4	28	55	33	12	14	8	54	14	5	
10	56	29	24	38	5	37	29	25	13	40	57	13	36	1	37	7	59	24	51	9	33	24	7	43	56	17	9	39	0	43	58	
37	59	29	31	46	24	23	1	5	33	9	18	57	7	4	53	6	59	47	10	2	31	8	57	24	4	55	29	15	34	44	45	
33	53	1	39	29	15	53	37	0	46	20	1	55	21	16	56	33	11	25	20	15	25	47	20	41	50	32	1	57	9	49	22	
36	53	49	32	57	12	50	20	5	23	8	15	25	2	52	53	51	9	54	29	32	34	37	25	19	34	13	41	27	28	35	31	
15	29	27	30	7	43	27	19	12	15	47	43	21	33	53	42	33	12	9	30	56	51	23	35	13	20	34	38	19	35	17	2	
56	20	25	10	24	6	54	10	30	3	31	33	53	54	9	44	54	31	32	57	13	59	56	35	20	0	34	2	43	51	39	3	
39	49	16	31	54	28	26	41	51	40	9	53	19	34	55	38	23	8	29	32	50	50	20	5	47	6	35	43	45	24	58	15	
43	13	20	48	6	42	51	7	6	0	37	59	41	56	15	53	55	21	44	6	43	57	47	52	7	45	3	55	39	25	21	6	
5	49	21	27	25	50	42	0	56	4	22	23	25	32	37	21	15	59	27	35	40	56	30	49	28	11	47	24	35	22	4	48	
40	11	55	11	33	56	29	38	52	48	9	22	21	47	18	25	11	46	0	23	41	29	48	16	13	42	18	37	43	35	8	32	
57	44	53	52	36	14	55	51	27	52	18	10	39	9	57	7	58	14	24	46	46	18	25	56	46	12	34	51	37	53	23	11	
35	48	48	3	32	59	53	43	56	28	17	17	53	20	30	32	17	43	47	17	3	55	46	6	41	59	45	28	24	36	11	21	
27	51	48	42	19	52	17	52	16	32	10	14	10	58	50	31	11	49	13	46	24	14	38	42	15	56	52	57	3	23	56	13	
52	8	40	31	31	23	42	12	30	35	36	57	57	51	16	30	4	52	34	51	53	18	41	55	58	55	43	3	52	2	4	28	
19	5	18	13	46	48	8	51	35	39	48	30	12	10	48	17	37	55	49	3	42	40	39	38	14	44	42	21	10	18	21	41	
36	53	12	36	43	10	35	59	55	2	6	54	30	43	59	18	26	44	51	42	19	18	9	47	22	15	0	3	53	50	22	33	
37	31	7	12	37	5	44	10	29	46	42	39	23	15	7	11	18	25	32	4	57	32	38	45	23	0	22	57	36	2	43	32	
21	13	10	13	26	30	2	36	29	17	36	19	47	37	38	44	2	44	51	10	50	57	2	33	44	3	28	55	1	15	25	38	
46	29	39	0	37	28	58	11	56	36	19	41	45	26	4	47	37	51	54	30	51	45	54	59	6	59	54	34	51	0	15	38	
53	24	20	56	45	7	22	49	10	23	0	25	23	1	55	38	24	11	47	34	52	49	40	26	44	18	11	41	34	2	57	45	
53	26	26	8	8	32	0	58	14	34	31	59	56	22	13	29	46	16	43	29	22	44	54	55	39	30	24	55	42	4	8	58	
